"","x"
"1","practice"
"2","inquiry"
"3","think"
"4","pedagogy"
"5","digital"
"6","age"
"7","opportunity"
"8","reconsider"
"9","basic"
"10","model"
"11","teacher"
"12","learn"
"13","one"
"14","start"
"15","point"
"16","interest"
"17","learner"
"18","category_classify"
"19","dewey"
"20","conversation"
"21","communicate"
"22","find"
"23","thing"
"24","make"
"25","construct"
"26","art"
"27","express"
"28","call"
"29","natural"
"30","resource"
"31","uninvested"
"32","capital"
"33","upon"
"34","depend"
"35","active"
"36","grow"
"37","child"
"38","dewey1956pp4748"
"39","state"
"40","similar"
"41","idea"
"42","process"
"43","form"
"44","stage"
"45","reflective"
"46","action"
"47","definition"
"48","latter"
"49","use"
"50","situation"
"51","provide"
"52","descriptive"
"53","account"
"54","survival"
"55","world"
"56","control"
"57","instruct_guide"
"58","transformation"
"59","indetermine"
"60","determine"
"61","constitute"
"62","distinction"
"63","relation"
"64","convert"
"65","element"
"66","original"
"67","unified"
"68","whole"
"69","inspire"
"70","source"
"71","fundamental"
"72","begin"
"73","spiral"
"74","path"
"75","envisioned"
"76","ask"
"77","question"
"78","investigate"
"79","solution"
"80","create"
"81","discuss"
"82","discover"
"83","experience"
"84","reflect"
"85","new"
"86","knowledge"
"87","follow"
"88","brucebishop2002"
"89","phase"
"90","leadership"
"91","next"
"92","authentic"
"93","teachable"
"94","moment"
"95","explore"
"96","turn"
"97","brucedavidson1996"
"98","solve"
"99","problem"
"100","reformulating"
"101","posing"
"102","close"
"103","tied"
"104","dialogue"
"105","others"
"106","cycle"
"107","present"
"108","aspect"
"109","need"
"110","support"
"111","success"
"112","environment"
"113","serve"
"114","boundary"
"115","object"
"116","stargriesmer1989"
"117","allow"
"118","us"
"119","relate"
"120","theory"
"121","ordinary"
"122","look"
"123","across"
"124","modes"
"125","context"
"126","inform"
"127","guide"
"128","education"
"129","important"
"130","note"
"131","merely"
"132","suggestive"
"133","neither"
"134","sole"
"135","complete"
"136","rigid"
"137","characterization"
"138","actual"
"139","rarely"
"140","proceeds"
"141","simple"
"142","linear"
"143","fashion"
"144","five"
"145","dimension"
"146","overlap"
"147","every"
"148","give"
"149","embed"
"150","fact"
"151","nature"
"152","mutual"
"153","reinforce"
"154","interrelated"
"155","despite"
"156","complexity"
"157","highlights"
"158","otherwise"
"159","opaque"
"160","reminds"
"161","develop"
"162","arise"
"163","meaning"
"164","genuine"
"165","reallife"
"166","challenge"
"167","refer"
"168","part"
"169","include"
"170","individual"
"171","participate"
"172","community"
"173","something"
"174","delivered"
"175","outside"
"176","example"
"177","come"
"178","early"
"179","study"
"180","computer"
"181","researcher"
"182","found"
"183","student"
"184","become"
"185","engage"
"186","bug"
"187","software"
"188","behavior"
"189","deep"
"190","programming"
"191","enormous"
"192","different"
"193","answer"
"194","someone"
"195","elses"
"196","formulate"
"197","oldsschwartzwillie1980p40"
"198","caution"
"199","always"
"200","well"
"201","articulate"
"202","elspethhuxley1959"
"203","best"
"204","way"
"205","fire"
"206","like"
"207","firing"
"208","gun"
"209","bang"
"210","goes"
"211","everything"
"212","take"
"213","flight"
"214","runs"
"215","shelter"
"216","sit"
"217","quite"
"218","still"
"219","play"
"220","little"
"221","will"
"222","peck"
"223","round"
"224","feet"
"225","venture"
"226","forth"
"227","thickets"
"228","intent"
"229","creep"
"230","sun"
"231","stone"
"232","patient"
"233","see"
"234","understand"
"235","great"
"236","deal"
"237","man"
"238","p272"
"239","variety"
"240","possible"
"241","many"
